,coin_pair,swap_pair,date_added,price_defference,dex_1,dex_2
0,DAI-BUSD,PancakeSwap-BakarySwap,"11/08/2021, 12:18:59",0.0020,PancakeSwap(1.0005),BakarySwap(1.0025)
1,BUSD-USDC,BakarySwap-PancakeSwap,"11/08/2021, 12:18:59",0.0000,BakarySwap(0.9966),PancakeSwap(0.9986)
2,USDC-DAI,PancakeSwap-BakarySwap,"11/08/2021, 12:18:59",0.0000,PancakeSwap(0.9942),BakarySwap(0.9942)
